Date,High,Low,Open,Close,Volume,Adj Close
2017-01-03,29.5,28.299999237060547,29.0,28.5,6600,28.5
2017-01-04,30.0,28.5,28.5,29.5,12700,29.5
2017-01-05,31.0,29.0,29.5,30.5,22700,30.5
2017-01-06,33.0,30.0,30.5,32.0,20600,32.0
2017-01-09,32.5,30.0,32.5,30.5,14600,30.5
2017-01-10,31.5,30.0,30.0,31.0,9000,31.0
2017-01-11,32.0,30.0,30.5,31.5,10300,31.5
2017-01-12,32.0,31.0,31.5,31.0,9100,31.0
2017-01-13,32.0,30.5,31.5,31.5,5600,31.5
2017-01-17,32.0,30.5,31.0,32.0,6900,32.0
2017-01-18,31.5,30.5,31.5,31.0,9600,31.0
2017-01-19,31.5,30.0,31.0,30.5,9200,30.5
2017-01-20,32.0,30.5,30.5,31.5,9700,31.5
2017-01-23,31.5,30.0,31.5,31.0,10800,31.0
2017-01-24,31.5,30.5,30.5,31.0,8800,31.0
2017-01-25,31.5,30.5,30.5,31.5,6400,31.5
2017-01-26,31.799999237060547,30.5,31.0,30.5,13200,30.5
2017-01-27,32.0,30.5,30.5,32.0,13700,32.0
2017-01-30,32.0,30.5,32.0,31.0,7700,31.0
2017-01-31,32.0,30.5,30.5,31.0,8300,31.0
2017-02-01,31.5,30.5,31.0,30.5,8700,30.5
2017-02-02,31.0,28.5,31.0,30.0,26900,30.0
2017-02-03,31.0,30.0,30.5,30.5,15500,30.5
2017-02-06,31.5,30.299999237060547,30.5,30.5,12500,30.5
2017-02-07,31.5,29.0,30.5,29.5,15900,29.5
2017-02-08,30.0,29.0,29.5,29.5,9700,29.5
2017-02-09,30.299999237060547,29.0,29.5,29.5,11300,29.5
2017-02-10,30.0,29.5,30.0,29.5,5500,29.5
2017-02-13,30.0,29.0,30.0,29.5,10000,29.5
2017-02-14,30.0,29.299999237060547,29.5,29.5,13500,29.5
2017-02-15,29.899999618530273,28.0,29.5,28.5,33400,28.5
2017-02-16,29.0,27.0,29.0,27.5,32700,27.5
2017-02-17,28.0,26.0,27.0,27.0,25800,27.0
2017-02-21,27.5,25.5,26.5,26.0,35900,26.0
2017-02-22,26.5,25.0,25.5,26.0,17400,26.0
2017-02-23,27.0,25.5,26.0,26.5,14000,26.5
2017-02-24,27.0,26.0,26.0,26.5,6600,26.5
2017-02-27,27.0,25.5,26.5,26.0,16200,26.0
2017-02-28,26.5,25.5,26.0,26.0,8600,26.0
2017-03-01,27.0,26.0,26.0,26.5,9100,26.5
2017-03-02,27.0,26.5,26.5,26.5,9500,26.5
2017-03-03,26.5,26.0,26.5,26.0,5500,26.0
2017-03-06,27.0,24.0,26.5,25.5,34300,25.5
2017-03-07,26.5,25.0,26.5,25.0,15100,25.0
2017-03-08,26.5,25.0,25.0,26.0,11600,26.0
2017-03-09,27.0,24.5,26.0,25.0,27000,25.0
2017-03-10,25.5,24.5,25.0,24.5,12000,24.5
2017-03-13,31.0,24.0,25.0,29.0,107200,29.0
2017-03-14,28.0,26.0,27.5,27.5,12400,27.5
2017-03-15,27.5,26.0,27.5,26.0,7600,26.0
2017-03-16,27.5,26.5,26.5,27.0,3900,27.0
2017-03-17,28.0,26.5,27.0,28.0,10100,28.0
2017-03-20,28.700000762939453,27.5,28.0,28.0,12200,28.0
2017-03-21,28.0,26.0,28.0,26.5,10600,26.5
2017-03-22,27.5,26.0,27.5,26.0,13100,26.0
2017-03-23,26.799999237060547,26.0,26.5,26.5,5800,26.5
2017-03-24,26.5,25.0,26.5,26.0,13400,26.0
2017-03-27,26.5,25.5,26.0,26.5,7300,26.5
2017-03-28,26.799999237060547,26.0,26.5,26.0,12900,26.0
2017-03-29,26.5,25.5,26.0,26.5,7700,26.5
2017-03-30,26.5,26.0,26.0,26.5,3900,26.5
2017-03-31,27.0,26.0,26.5,26.0,78600,26.0
2017-04-03,26.5,25.5,26.0,26.0,16500,26.0
2017-04-04,26.0,25.5,26.0,25.5,4700,25.5
2017-04-05,26.5,25.5,26.0,25.5,4900,25.5
2017-04-06,26.0,25.0,25.5,25.5,21800,25.5
2017-04-07,26.0,25.0,25.0,26.0,23300,26.0
2017-04-10,26.0,25.0,25.5,25.0,10400,25.0
2017-04-11,28.0,25.0,25.0,25.5,16600,25.5
2017-04-12,26.799999237060547,26.0,26.0,26.0,4500,26.0
2017-04-13,27.0,25.5,26.0,27.0,12200,27.0
2017-04-17,27.0,25.5,27.0,26.0,7600,26.0
2017-04-18,27.0,25.5,26.0,26.5,33400,26.5
2017-04-19,28.299999237060547,27.0,27.0,27.5,13600,27.5
2017-04-20,28.5,27.5,28.0,28.5,13300,28.5
2017-04-21,30.0,28.0,28.5,28.0,12500,28.0
2017-04-24,29.0,27.0,28.0,27.5,10100,27.5
2017-04-25,31.0,27.5,27.5,29.5,34600,29.5
2017-04-26,30.5,29.5,30.0,30.5,16600,30.5
2017-04-27,30.5,28.0,30.5,28.0,10700,28.0
2017-04-28,28.399999618530273,25.0,28.0,26.0,30200,26.0
2017-05-01,27.5,26.0,26.0,27.0,12300,27.0
2017-05-02,27.5,25.5,27.0,26.0,10700,26.0
2017-05-03,27.799999237060547,25.5,26.0,27.0,19500,27.0
2017-05-04,26.0,20.0,25.5,20.5,140800,20.5
2017-05-05,24.5,21.5,22.0,23.5,41600,23.5
2017-05-08,24.5,22.5,23.5,23.0,14600,23.0
2017-05-09,24.0,22.0,22.5,22.5,18300,22.5
2017-05-10,22.899999618530273,20.5,22.0,21.0,24800,21.0
2017-05-11,21.5,20.0,21.0,20.0,57000,20.0
2017-05-12,21.0,19.899999618530273,20.5,20.0,18400,20.0
2017-05-15,22.5,20.0,20.0,22.5,31200,22.5
2017-05-16,22.5,20.299999237060547,22.5,20.5,40200,20.5
2017-05-17,22.0,20.5,21.0,21.0,14500,21.0
2017-05-18,21.0,19.399999618530273,20.5,19.5,52000,19.5
