Date,High,Low,Open,Close,Volume,Adj Close
2017-01-03,13.5,12.75,13.5,13.5,0.0,13.5
2017-01-04,13.75,13.0,13.75,13.5,200.0,13.5
2017-01-05,14.25,13.0,13.75,13.75,1000.0,13.75
2017-01-06,14.75,13.5,14.25,14.25,900.0,14.25
2017-01-09,14.75,14.0,14.0,14.75,0.0,14.75
2017-01-10,15.0,14.0,15.0,14.75,400.0,14.75
2017-01-11,14.5,13.25,14.5,14.5,800.0,14.5
2017-01-12,14.5,13.75,13.75,14.5,100.0,14.5
2017-01-13,14.0,12.5,13.5,13.75,800.0,13.75
2017-01-17,15.25,13.25,13.75,15.25,3800.0,15.25
2017-01-18,15.25,13.5,15.0,15.25,600.0,15.25
2017-01-19,15.0,13.25,15.0,14.25,700.0,14.25
2017-01-20,15.0,13.0,14.25,14.75,3000.0,14.75
2017-01-23,15.25,14.25,15.0,15.0,300.0,15.0
2017-01-24,15.25,14.5,15.25,15.0,500.0,15.0
2017-01-25,14.75,14.0,14.5,14.0,1600.0,14.0
2017-01-26,14.5,12.75,14.25,14.5,1500.0,14.5
2017-01-27,14.75,14.25,14.25,14.75,100.0,14.75
2017-01-30,14.75,12.75,14.5,14.75,6200.0,14.75
2017-01-31,14.5,13.75,14.5,14.5,600.0,14.5
2017-02-01,14.75,13.5,14.75,14.5,200.0,14.5
2017-02-02,14.75,13.5,14.25,14.75,500.0,14.75
2017-02-03,14.75,14.0,14.75,14.75,400.0,14.75
2017-02-06,14.75,13.75,13.75,14.75,100.0,14.75
2017-02-07,15.0,14.0,14.75,15.0,1200.0,15.0
2017-02-08,15.0,14.0,15.0,14.75,200.0,14.75
2017-02-09,14.75,13.5,14.5,14.25,900.0,14.25
2017-02-10,15.0,15.0,15.0,15.0,0.0,15.0
2017-02-13,15.0,13.75,15.0,15.0,2500.0,15.0
2017-02-14,15.0,14.0,14.0,15.0,400.0,15.0
2017-02-15,14.75,14.5,14.5,14.5,0.0,14.5
2017-02-16,14.75,14.5,14.75,14.75,400.0,14.75
2017-02-17,14.75,14.5,14.75,14.5,0.0,14.5
2017-02-21,14.5,14.25,14.5,14.5,100.0,14.5
