Date,High,Low,Open,Close,Volume,Adj Close
2017-01-03,62.5,48.0,51.0,53.0,54100,53.0
2017-01-04,54.0,50.5,54.0,51.0,5800,51.0
2017-01-05,52.5,51.5,52.0,52.0,5700,52.0
2017-01-06,55.0,50.0,52.0,50.0,14500,50.0
2017-01-09,55.0,51.5,55.0,51.5,8300,51.5
2017-01-10,53.5,49.0,52.0,51.0,8900,51.0
2017-01-11,51.0,46.5,50.5,47.5,9100,47.5
2017-01-12,51.0,47.5,48.0,51.0,4700,51.0
2017-01-13,57.0,50.779998779296875,50.779998779296875,56.0,6500,56.0
2017-01-17,55.0,52.0,55.0,52.5,4300,52.5
2017-01-18,53.5,50.70000076293945,52.0,53.0,3400,53.0
2017-01-19,56.40999984741211,52.0,56.40999984741211,54.0,2300,54.0
2017-01-20,54.0,50.0,54.0,51.5,11300,51.5
2017-01-23,52.630001068115234,47.0,52.630001068115234,48.5,14000,48.5
2017-01-24,50.5,46.5,49.0,49.0,10200,49.0
2017-01-25,50.5,48.0,49.5,49.5,3000,49.5
2017-01-26,50.5,48.0,50.0,49.0,2400,49.0
2017-01-27,50.43000030517578,48.0,50.43000030517578,49.5,4200,49.5
2017-01-30,49.5,47.0,49.5,48.0,2900,48.0
2017-01-31,48.5,45.5,48.0,48.0,9900,48.0
2017-02-01,48.5,46.0,48.0,48.5,2000,48.5
2017-02-02,49.5,46.5,48.0,48.0,2800,48.0
2017-02-03,50.0,47.5,48.0,49.5,6300,49.5
2017-02-06,50.0,47.0,48.5,47.0,3500,47.0
2017-02-07,49.5,47.5,49.0,49.5,4700,49.5
2017-02-08,49.0,47.0,49.0,49.0,3500,49.0
2017-02-09,50.0,47.5,49.0,48.5,5100,48.5
2017-02-10,42.5,36.0,37.5,41.5,86000,41.5
2017-02-13,41.0,40.0,41.0,41.0,5900,41.0
2017-02-14,40.5,39.0,40.5,39.5,5000,39.5
2017-02-15,40.0,38.0,39.5,39.0,7600,39.0
2017-02-16,42.0,38.5,41.0,40.0,8100,40.0
2017-02-17,39.5,38.5,39.5,39.5,1400,39.5
2017-02-21,39.75,38.0,39.5,38.5,3300,38.5
2017-02-22,39.099998474121094,37.0,38.5,37.0,4400,37.0
2017-02-23,39.25,36.5,37.5,39.0,5300,39.0
2017-02-24,40.0,38.0,38.5,39.0,2100,39.0
2017-02-27,41.5,39.29999923706055,39.5,39.5,5200,39.5
2017-02-28,40.0,39.0,39.0,39.0,5300,39.0
2017-03-01,40.5,39.0,39.0,40.0,6400,40.0
2017-03-02,41.0,39.0,39.5,40.5,8200,40.5
2017-03-03,41.75,38.56999969482422,41.5,41.0,4000,41.0
2017-03-06,41.29999923706055,38.0,40.5,39.0,7500,39.0
2017-03-07,40.0,38.0,40.0,38.5,4400,38.5
2017-03-08,40.0,38.5,38.5,39.5,3700,39.5
2017-03-09,41.5,39.0,39.5099983215332,41.0,3000,41.0
2017-03-10,42.0,40.5,41.5,41.0,5300,41.0
2017-03-13,42.0,40.0,40.5,41.5,4200,41.5
2017-03-14,41.20000076293945,40.0,41.0,40.5,2600,40.5
2017-03-15,46.95000076293945,40.0,42.0,45.0,27000,45.0
2017-03-16,46.0,42.5,45.0,43.5,7700,43.5
2017-03-17,45.0,42.0,43.5,45.0,3900,45.0
2017-03-20,46.0,43.54999923706055,44.5,45.5,4200,45.5
2017-03-21,45.0,41.5,45.0,43.0,3600,43.0
2017-03-22,43.5,42.0,42.5,43.5,1400,43.5
2017-03-23,44.0,42.5,43.5,43.0,2200,43.0
2017-03-24,43.5,40.0,43.5,41.0,5800,41.0
2017-03-27,42.5,40.0,40.0,42.0,2000,42.0
2017-03-28,42.970001220703125,41.5,42.5,42.5,1400,42.5
2017-03-29,42.5,39.0,42.5,39.0,15700,39.0
2017-03-30,39.0,36.5,39.0,38.0,11800,38.0
2017-03-31,39.5,37.0,38.93000030517578,37.5,3600,37.5
2017-04-03,38.06999969482422,36.0,38.0,36.0,5200,36.0
2017-04-04,44.0,36.0,36.5,41.040000915527344,27000,41.040000915527344
2017-04-05,44.0,38.5,40.5,39.0,20200,39.0
2017-04-06,42.0,36.5,39.0,37.0,15100,37.0
2017-04-07,41.0,36.0,37.5,37.5,15800,37.5
2017-04-10,39.5,36.0,37.0,38.5,6000,38.5
2017-04-11,39.5,36.5,39.0,37.5,4600,37.5
2017-04-12,38.0,36.5,37.95000076293945,37.0,5800,37.0
2017-04-13,38.0,36.5,37.0,36.5,12700,36.5
2017-04-17,37.0,34.0,37.0,35.5,14000,35.5
2017-04-18,39.0099983215332,34.86000061035156,35.5,37.5,7600,37.5
2017-04-19,38.5,36.0,37.5,36.0,5400,36.0
2017-04-20,38.0,36.0,36.5,36.5,3600,36.5
2017-04-21,36.5,34.5,36.5,35.5,4200,35.5
2017-04-24,36.0,34.5,36.0,35.25,3200,35.25
2017-04-25,36.0,34.0,35.0,35.0,4500,35.0
2017-04-26,37.0,35.0,35.5,37.0,3900,37.0
2017-04-27,37.5,35.0,36.5,35.5,2300,35.5
2017-04-28,35.5,34.5,35.5,34.5,1200,34.5
2017-05-01,35.0,33.5,35.0,35.0,2800,35.0
2017-05-02,35.5,34.0,34.0,34.0,900,34.0
2017-05-03,35.0,33.5,34.380001068115234,33.5,2600,33.5
2017-05-04,35.0,33.5,34.45000076293945,35.0,1300,35.0
2017-05-05,35.0,33.27000045776367,35.0,34.0,1900,34.0
2017-05-08,34.5,33.0,34.04999923706055,33.5,2100,33.5
2017-05-09,33.54999923706055,30.68000030517578,33.54999923706055,33.0,5800,33.0
2017-05-10,32.939998626708984,32.0,32.0,32.5,4000,32.5
2017-05-11,33.0,30.0,31.0,32.0,5800,32.0
2017-05-12,34.4900016784668,32.0,32.0,34.0,3100,34.0
2017-05-15,34.5,33.5,33.5,34.5,1500,34.5
2017-05-16,34.5,32.0,33.790000915527344,34.0,2200,34.0
2017-05-17,33.4900016784668,32.0,32.599998474121094,32.75,2100,32.75
2017-05-18,32.0,30.5,32.0,31.0,2300,31.0
2017-05-19,32.5,30.0,31.0,32.0,1300,32.0
2017-05-22,33.0,30.5,32.5,32.0,2100,32.0
2017-05-23,32.0,30.0,32.0,30.5,6800,30.5
2017-05-24,31.0,29.5,30.049999237060547,30.5,11800,30.5
2017-05-25,29.5,27.5,29.5,28.5,8000,28.5
2017-05-26,33.5,28.0,29.0,28.5,18500,28.5
2017-05-30,29.5,26.0,28.0,26.0,8700,26.0
